depth,dip,dip_azimuth
1363.5,1,167
1365.5,4.9,101
1367.5,19.8,21
1369.5,7.4,96
1371.5,25.9,95
1373.5,32.3,136
1375.5,52.1,277
1377.5,4.2,293
1379.5,2,193
1381.5,17.7,335
1383.5,10.5,326
1385.5,10.3,201
1387.5,1.2,250
1389.5,1.8,249
1391.5,3,13
1393.5,3.1,15
1395.5,2.4,204
1397.5,5.3,155
1399.5,6.9,165
1401.5,30.1,316
1403.5,13.9,169
1405.5,2.9,65
1407.5,4.4,190
1409.5,6,42
1411.5,2.6,89
1413.5,49.6,15
1415.5,NA,NA
1417.5,0.2,354
1419.5,8.3,320
1421.5,3.6,251
1423.5,2.2,271
1425.5,8.9,36
1427.5,11.2,64
1429.5,0.8,250
1431.5,2,256
1433.5,1.5,261
1435.5,0.6,268
1437.5,0.5,263
1439.5,1.4,295
1441.5,1.6,350
1443.5,5,40
1445.5,5.6,38
1447.5,2.4,21
1449.5,1.5,353
1451.5,3.3,22
1453.5,16.3,167
1455.5,11.2,249
1457.5,5.3,232
1459.5,2.4,266
1461.5,5.1,79
1463.5,2.7,46
1465.5,3.3,177
1467.5,3,285
1469.5,17,291
1471.5,NA,NA
1473.5,9.7,308
1475.5,27.5,263
1477.5,20.2,195
1479.5,40.5,119
1481.5,32.2,0
1483.5,58.2,212
1485.5,21.9,204
1487.5,53.5,157
1489.5,28.1,239
1491.5,17.4,264
1493.5,39.5,335
1495.5,9.9,6
1497.5,12.9,291
1499.5,34.1,44
1501.5,37.8,37
1503.5,10.5,12
1505.5,11.4,6
1507.5,12.4,0
1509.5,24,77
1511.5,35.9,79
1513.5,35.8,281
1515.5,22,349
1517.5,32.5,325
1519.5,13.8,75
1521.5,8.1,335
1523.5,4.6,339
1525.5,8.1,2
1527.5,8.2,328
1529.5,12,316
1531.5,6.2,300
1533.5,7,271
1535.5,4.3,345
1537.5,3.3,70
1539.5,4.6,197
1541.5,6.5,296
1543.5,5.5,297
1545.5,7.4,214
1547.5,7.5,216
1549.5,10.1,242
1551.5,19.1,44
1553.5,17.1,51
1555.5,3.2,29
1557.5,7.3,275
1559.5,4.6,26
1561.5,1.4,100
1563.5,7.1,259
1565.5,8,271
1567.5,21.5,227
1569.5,16.3,212
1571.5,3.9,60
1573.5,6.7,48
1575.5,12.1,44
1577.5,10.4,56
1579.5,6,64
1581.5,6.2,73
1583.5,7.6,94
1585.5,6.5,93
1587.5,3.5,92
1589.5,4.8,15
1591.5,6.1,23
1593.5,10.8,14
1595.5,16.6,166
1597.5,28.3,331
1599.5,NA,NA
1601.5,NA,NA
1603.5,5.3,236
1605.5,5.2,259
1607.5,2.8,187
1609.5,33.7,23
1611.5,11,333
1613.5,31.2,293
1615.5,21.9,354
1617.5,24.7,176
1619.5,30,74
1621.5,10.3,67
1623.5,11,331
1625.5,28.9,121
1627.5,6.8,101
1629.5,3,93
1631.5,3.1,96
1633.5,5.6,164
1635.5,15.1,342
1637.5,4.9,331
1639.5,4.1,333
1641.5,26.8,59
1643.5,29.9,50
1645.5,7.7,245
1647.5,9.1,249
1649.5,10,230
1651.5,5.2,217
1653.5,3.6,259
1655.5,4.3,266
1657.5,4.2,249
1659.5,10.2,151
1661.5,8.2,148
1663.5,4.9,146
1665.5,5.5,230
1667.5,5.2,193
1669.5,4,147
1671.5,2.6,121
1673.5,3.2,76
1675.5,3.3,144
1677.5,1.5,58
1679.5,1.3,59
1681.5,4.8,209
1683.5,4.5,222
1685.5,3.9,214
1687.5,3.8,205
1689.5,5.2,221
1691.5,7.7,206
1693.5,2.6,249
1695.5,8.2,238
1697.5,8.3,230
1699.5,5.8,177
1701.5,4.2,182
1703.5,0.7,274
1705.5,0.5,301
1707.5,9.3,213
1709.5,3.9,200
1711.5,4.7,196
1713.5,4.2,214
1715.5,5.7,147
1717.5,8,65
1719.5,6.8,55
1721.5,6.6,136
1723.5,22,186
1725.5,15.6,196
1727.5,8.2,267
1729.5,1.3,150
1731.5,2.6,114
1733.5,11.4,274
1735.5,2.4,99
1737.5,6.3,28
1739.5,6.4,26
1741.5,5.7,186
1743.5,7,189
1745.5,45.7,35
1747.5,7.5,76
1749.5,14.4,112
1751.5,14.2,117
1753.5,34.8,231
1755.5,28.1,266
1757.5,13.2,180
1759.5,11.8,189
1761.5,1.6,230
1763.5,1.5,256
1765.5,2.4,297
1767.5,1.1,153
1769.5,1.1,255
1771.5,5.2,284
1773.5,1.6,179
1775.5,3.7,298
1777.5,1,268
1779.5,1.1,148
1781.5,0.2,187
1783.5,0.4,351
1785.5,0.7,325
1787.5,0.8,337
1789.5,1.5,36
1791.5,2.6,259
1793.5,1.1,255
1795.5,2.7,179
1797.5,2.2,11
1799.5,2.9,265
1801.5,3.7,259
1803.5,1.5,332
1805.5,0.9,338
1807.5,1.7,177
1809.5,2.4,160
1811.5,0.3,281
1813.5,1.8,243
1815.5,1.7,238
1817.5,1.5,138
1819.5,2.1,152
1821.5,0.8,188
1823.5,0.6,195
1825.5,1.9,338
1827.5,2.1,1
1829.5,2,282
1831.5,0.7,188
1833.5,0.8,103
1835.5,1.5,114
1837.5,1,52
1839.5,1.1,278
1841.5,0.5,201
1843.5,1,144
1845.5,0.4,138
1847.5,1,97
1849.5,1.4,71
1851.5,0.7,16
1853.5,1.3,252
1855.5,1.2,260
1857.5,0.8,114
1859.5,0.8,169
1861.5,0.8,181
1863.5,0.7,311
1865.5,0.6,294
1867.5,0.7,335
1869.5,1.1,344
1871.5,2.4,249
1873.5,1.5,225
1875.5,0.9,313
1877.5,1.3,300
1879.5,1,225
1881.5,0.6,188
1883.5,0.9,191
1885.5,0.6,234
1887.5,2,151
1889.5,3.5,151
1891.5,2,138
1893.5,1.7,150
1895.5,1.4,148
1897.5,0.9,139
1899.5,2.5,230
1901.5,1.4,245
1903.5,0.3,258
1905.5,1.1,198
1907.5,1.7,207
1909.5,0.3,22
1911.5,0.3,315
1913.5,0.8,229
1915.5,1.1,184
1917.5,0.6,185
1919.5,0.3,207
1921.5,1.2,208
1923.5,1.6,252
1925.5,1.6,229
1927.5,3.2,182
1929.5,2.3,164
1931.5,1.8,163
1933.5,0.3,114
1935.5,0.8,356
1937.5,0.5,316
1939.5,0.9,209
1941.5,0.8,152
1943.5,0.6,169
1945.5,0.8,182
1947.5,3.4,207
1949.5,1.3,157
1951.5,1.9,138
1953.5,2.7,134
1955.5,2.4,122
1957.5,1.1,133
1959.5,2.4,137
1961.5,1.8,136
1963.5,0.5,2
1965.5,1.3,344
1967.5,0.2,250
1969.5,1.6,208
1971.5,1.7,197
1973.5,1.4,358
1975.5,1.6,250
1977.5,1.6,267
1979.5,1.3,297
1981.5,2.6,326
1983.5,4.1,332
1985.5,0.5,357
1987.5,2.5,18
1989.5,1.5,24
1991.5,1,236
1993.5,1.2,255
1995.5,1.4,218
1997.5,2.2,226
1999.5,1,282
2001.5,3.2,340
2003.5,0.8,265
2005.5,2,200
2007.5,2.7,230
2009.5,3.6,238
2011.5,17.2,154
2013.5,1.3,359
2015.5,0.7,332
2017.5,2.8,240
2019.5,3.7,210
2021.5,1.1,187
2023.5,0.6,177
2025.5,11.1,178
2027.5,1.8,227
2029.5,1.6,218
2031.5,5.4,229
2033.5,4.5,225
2035.5,1.4,198
2037.5,11,338
2039.5,4.3,293
2041.5,4.5,227
2043.5,2.5,242
2045.5,4.3,235
2047.5,3.5,234
2049.5,1.7,210
2051.5,0.8,165
2053.5,2.4,163
2055.5,2.4,259
2057.5,2.7,273
2059.5,2,173
2061.5,2.6,179
2063.5,32.3,173
2065.5,30.2,175
2067.5,0.5,158
2069.5,0.7,93
2071.5,2.2,254
2073.5,2.5,253
2075.5,1.3,270
2077.5,1.3,270
2079.5,1.3,257
2081.5,0.8,233
2083.5,5.6,47
2085.5,4,49
2087.5,1.2,155
2089.5,1.2,344
2091.5,1.2,342
2093.5,2.7,21
2095.5,1.6,18
2097.5,1,12
2099.5,4.1,34
2101.5,3.3,344
2103.5,3.8,321
2105.5,2.6,292
2107.5,9.6,240
2109.5,6.4,241
2111.5,1.1,258
2113.5,0.9,213
2115.5,1.2,200
2117.5,1.5,298
2119.5,0.2,130
2121.5,0.9,136
2123.5,1,259
2125.5,2.1,257
2127.5,2.5,272
2129.5,4.4,20
2131.5,14.5,78
2133.5,2.3,194
2135.5,6.5,222
2137.5,5.8,230
2139.5,2.6,285
2141.5,2.7,124
2143.5,3.8,237
2145.5,5.4,221
2147.5,4.9,161
2149.5,6.5,198
2151.5,2.3,263
2153.5,2.4,284
2155.5,1.5,273
2157.5,1.9,262
2159.5,0.6,234
2161.5,0.4,179
2163.5,NA,NA
2165.5,1.2,278
2167.5,0.8,286
2169.5,0.6,327
2171.5,0.9,1
2173.5,0.6,62
2175.5,0.9,334
2177.5,1,352
2179.5,1,68
2181.5,0.3,109
2183.5,0.7,160
2185.5,0.6,216
2187.5,1.9,268
2189.5,1.9,283
2191.5,1.1,302
2193.5,0.5,338
2195.5,0.8,308
2197.5,1.5,334
2199.5,1.4,315
2201.5,2.1,269
2203.5,3.3,119
2205.5,2.2,93
2207.5,1,5
2209.5,0.3,313
2211.5,0.7,342
2213.5,1.2,300
2215.5,2,257
2217.5,1.3,268
2219.5,0.9,313
2221.5,0.9,298
2223.5,1,294
2225.5,1.7,330
2227.5,1.6,342
2229.5,1.2,347
2231.5,0.1,6
2233.5,0.6,238
2235.5,2.1,272
2237.5,1.5,255
2239.5,1.3,178
2241.5,1.7,193
2243.5,1.4,310
2245.5,2.7,295
2247.5,2.8,294
2249.5,9.6,130
2251.5,2.1,315
2253.5,2.6,300
2255.5,26.5,206
2257.5,8.2,63
2259.5,1,19
2261.5,1,64
2263.5,0.8,26
2265.5,1.2,7
2267.5,2,340
2269.5,1.5,329
2271.5,1.4,298
2273.5,0.8,286
2275.5,1.3,342
2277.5,1.8,334
2279.5,1.5,290
2281.5,1,328
2283.5,0.7,143
2285.5,0.3,294
2287.5,1.7,341
2289.5,1.8,3
2291.5,4.7,NA
2293.5,3.3,345
2295.5,1.7,205
2297.5,1.3,248
2299.5,1,334
2301.5,10.7,69
2303.5,9.6,143
2305.5,19.9,136
2307.5,3.9,54
2309.5,2.9,58
2311.5,12.7,138
2313.5,12.3,139
2315.5,13.6,132
2317.5,14.6,125
2319.5,6.3,117
2321.5,8.7,40
2323.5,23.8,164
2325.5,5.2,170
2327.5,4.4,165
2329.5,,NA
2331.5,20,158
2333.5,13.9,173
2335.5,10.7,190
2337.5,20.6,165
2339.5,21.7,164
2341.5,22.9,168
2343.5,23.7,166
2345.5,23.3,169
