station_id,begin_time,phase_index,phase_time,phase_score,phase_type,file_name,phase_amplitude,phase_amp
t2.19792..LH,2023-10-13T09:07:24.000,110029,2023-10-13T09:25:44.290,0.361,P,SS_inventory/UofUTest2_/453019792/stream13.MiniSeed,26054551552.0,26054551552.0
t2.19792..LH,2023-10-13T09:07:24.000,2082283,2023-10-13T14:54:26.830,0.471,P,SS_inventory/UofUTest2_/453019792/stream13.MiniSeed,26989361152.0,26989361152.0
t2.19792..LH,2023-10-13T09:07:24.000,2483581,2023-10-13T16:01:19.810,0.308,P,SS_inventory/UofUTest2_/453019792/stream13.MiniSeed,27684853760.0,27684853760.0
t2.19792..LH,2023-10-13T09:07:24.000,2783153,2023-10-13T16:51:15.530,0.588,P,SS_inventory/UofUTest2_/453019792/stream13.MiniSeed,45029572608.0,45029572608.0
t2.19792..LH,2023-10-13T09:07:24.000,2800267,2023-10-13T16:54:06.670,0.302,P,SS_inventory/UofUTest2_/453019792/stream13.MiniSeed,27374299136.0,27374299136.0
t2.19792..LH,2023-10-13T09:07:24.000,2913429,2023-10-13T17:12:58.290,0.425,P,SS_inventory/UofUTest2_/453019792/stream13.MiniSeed,40579129344.0,40579129344.0
t2.19792..LH,2023-10-13T09:07:24.000,3154317,2023-10-13T17:53:07.170,0.34,P,SS_inventory/UofUTest2_/453019792/stream13.MiniSeed,25316085760.0,25316085760.0
t2.19792..LH,2023-10-13T09:07:24.000,3485881,2023-10-13T18:48:22.810,0.408,P,SS_inventory/UofUTest2_/453019792/stream13.MiniSeed,36450258944.0,36450258944.0
t2.19792..LH,2023-10-13T09:07:24.000,3839636,2023-10-13T19:47:20.360,0.428,P,SS_inventory/UofUTest2_/453019792/stream13.MiniSeed,4586424238080.0,4586424238080.0
t2.19792..LH,2023-10-13T09:07:24.000,111309,2023-10-13T09:25:57.090,0.444,S,SS_inventory/UofUTest2_/453019792/stream13.MiniSeed,31141545984.0,31141545984.0
t2.19792..LH,2023-10-13T09:07:24.000,1691993,2023-10-13T13:49:23.930,0.393,S,SS_inventory/UofUTest2_/453019792/stream13.MiniSeed,30914048000.0,30914048000.0
t2.19792..LH,2023-10-13T09:07:24.000,1823481,2023-10-13T14:11:18.810,0.443,S,SS_inventory/UofUTest2_/453019792/stream13.MiniSeed,30008844288.0,30008844288.0
t2.19792..LH,2023-10-13T09:07:24.000,1826689,2023-10-13T14:11:50.890,0.51,S,SS_inventory/UofUTest2_/453019792/stream13.MiniSeed,26469296128.0,26469296128.0
t2.19792..LH,2023-10-13T09:07:24.000,2304791,2023-10-13T15:31:31.910,0.376,S,SS_inventory/UofUTest2_/453019792/stream13.MiniSeed,59491020800.0,59491020800.0
t2.19792..LH,2023-10-13T09:07:24.000,2482695,2023-10-13T16:01:10.950,0.429,S,SS_inventory/UofUTest2_/453019792/stream13.MiniSeed,24154677248.0,24154677248.0
t2.19792..LH,2023-10-13T09:07:24.000,3082347,2023-10-13T17:41:07.470,0.329,S,SS_inventory/UofUTest2_/453019792/stream13.MiniSeed,26035140608.0,26035140608.0
t2.19792..LH,2023-10-13T09:07:24.000,3162169,2023-10-13T17:54:25.690,0.495,S,SS_inventory/UofUTest2_/453019792/stream13.MiniSeed,28987179008.0,28987179008.0
t2.19792..LH,2023-10-13T09:07:24.000,3191611,2023-10-13T17:59:20.110,0.328,S,SS_inventory/UofUTest2_/453019792/stream13.MiniSeed,29167677440.0,29167677440.0
t2.19792..LH,2023-10-13T09:07:24.000,3486425,2023-10-13T18:48:28.250,0.565,S,SS_inventory/UofUTest2_/453019792/stream13.MiniSeed,36450258944.0,36450258944.0
t2.19792..LH,2023-10-13T09:07:24.000,3839947,2023-10-13T19:47:23.470,0.329,S,SS_inventory/UofUTest2_/453019792/stream13.MiniSeed,4586424238080.0,4586424238080.0
